ID_Contenedor,Tipo_Contenedor,Largo_Cont_m,Ancho_Cont_m,Alto_Cont_m,Capacidad_Total_m3,Grupo_Compatibilidad,Tipo_Mercancia,Producto,ID_Producto,Volumen_Ocupado_m3,Peso_Toneladas,Puerto_Destino,Prioridad_Descarga,Precio_por_cm3_USD,Costo_Total_USD,Porcentaje_Ocupacion
C035223,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5749,1.69,0.395,Miami,Alta,0.72,43499273.3,2.5
C028267,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3371,2.62,0.67,Shanghai,Baja,0.72,42682888.49,3.87
C009211,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2357,1.46,0.37,Shanghai,Media,0.72,27603022.73,2.16
C037770,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5331,0.92,0.215,Los Ángeles,Media,0.72,32043838.9,1.36
C013736,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1813,2.59,0.711,Shanghai,Baja,0.72,29087505.98,3.83
C038080,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8915,1.87,0.46,Miami,Alta,0.72,40135712.24,2.76
C018841,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9396,0.97,0.223,Shanghai,Media,0.72,35457473.65,1.43
C004313,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7759,2.3,0.531,Valparaíso,Baja,0.72,31554248.62,3.4
C008636,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO1249,1.78,0.452,Valparaíso,Baja,0.95,55266116.09,2.33
C012245,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN5177,2.01,0.551,Los Ángeles,Media,0.72,34457294.76,2.97
C042168,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0251,1.65,0.418,Los Ángeles,Media,0.72,27034447.48,2.44
C012611,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO4311,2.57,0.7,Rotterdam,Alta,0.72,28468019.81,3.8
C048933,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4030,2.57,0.635,Rotterdam,Alta,0.72,29536723.74,3.8
C044769,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7562,2.27,0.56,Shanghai,Media,0.72,30146892.48,3.35
C018714,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0069,0.76,0.19,Shanghai,Media,0.72,41756921.59,1.12
C024166,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1715,2.6,0.676,Valparaíso,Baja,0.72,32673726.86,3.84
C041580,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0383,2.18,0.531,Miami,Baja,0.72,40845286.62,3.22
C038784,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO3796,2.24,0.601,Los Ángeles,Alta,0.95,40083354.64,2.93
C029692,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6318,1.41,0.319,Shanghai,Media,0.72,43125379.49,2.08
C041709,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6793,2.7,0.667,Los Ángeles,Media,0.95,49287155.41,3.53
C033092,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7377,2.31,0.579,Shanghai,Baja,0.72,36799195.43,3.41
C046662,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO0944,0.78,0.199,Shanghai,Media,0.95,50115337.53,1.02
C029409,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7002,1.52,0.363,Rotterdam,Alta,0.72,35566481.71,2.25
C018935,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN6187,2.72,0.67,Rotterdam,Alta,0.72,43556694.59,4.02
C044694,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO4246,0.62,0.155,Shanghai,Baja,0.95,54109436.66,0.81
C012523,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO9383,2.9,0.752,Los Ángeles,Alta,0.72,27080564.93,4.28
C010785,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7919,2.2,0.58,Miami,Alta,0.95,42389469.01,2.88
C032747,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST7434,2.08,0.545,Shanghai,Media,0.85,17124224.96,6.27
C016651,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN6815,1.18,0.286,Shanghai,Baja,0.72,36116335.47,1.74
C035352,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8374,1.12,0.308,Rotterdam,Alta,0.72,29204229.43,1.65
C018990,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7729,2.86,0.765,Shanghai,Media,0.95,66581921.45,3.74
C008825,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3356,1.25,0.298,Shanghai,Media,0.72,42821751.21,1.85
C045206,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO1863,2.44,0.573,Shanghai,Baja,0.95,40360642.96,3.19
C009821,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO3202,1.48,0.356,Shanghai,Baja,0.72,27455454.19,2.19
C003960,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO1568,0.85,0.21,Los Ángeles,Media,0.95,57411796.1,1.11
C007131,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN9082,0.53,0.142,Shanghai,Media,0.72,38034536.26,0.78
C009016,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO4778,1.86,0.491,Shanghai,Media,0.72,30338433.51,2.75
C000488,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1599,2.94,0.787,Valparaíso,Media,0.72,33875735.3,4.34
C048468,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6369,1.42,0.339,Los Ángeles,Baja,0.95,53549820.52,1.86
C021118,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2992,1.39,0.354,Los Ángeles,Media,0.95,42963928.67,1.82
C016210,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO5199,1.36,0.325,Los Ángeles,Alta,0.72,38775328.08,2.01
C025083,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO4109,1.8,0.415,Los Ángeles,Alta,0.95,53768493.92,2.36
C000341,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8425,1.6,0.415,Rotterdam,Alta,0.72,27751261.51,2.36
C004567,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN1912,2.7,0.627,Miami,Alta,0.72,41171672.17,3.99
C033727,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3160,1.76,0.455,Shanghai,Media,0.72,26916655.24,2.6
C033896,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO8364,1.77,0.456,Rotterdam,Media,0.95,43304187.33,2.32
C022842,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0682,0.85,0.226,Los Ángeles,Media,0.72,29822124.43,1.26
C024042,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO7484,2.96,0.687,Los Ángeles,Alta,0.72,34913470.51,4.37
C017342,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO0205,1.12,0.296,Los Ángeles,Media,0.72,29191254.45,1.65
C044816,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2972,0.68,0.187,Rotterdam,Alta,0.95,42871642.28,0.89
C004680,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST0790,2.16,0.578,Rotterdam,Alta,0.85,18616721.56,6.51
C010477,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO9440,1.99,0.523,Rotterdam,Alta,0.95,56469445.1,2.6
C044184,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2023,1.54,0.397,Shanghai,Media,0.72,34271927.38,2.27
C042467,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO9594,1.56,0.384,Shanghai,Media,0.72,29675416.97,2.3
C021859,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST3341,2.46,0.643,Rotterdam,Media,0.85,18421036.11,7.41
C021931,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO1460,0.99,0.259,Shanghai,Media,0.95,44357553.22,1.3
C049827,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8792,2.55,0.654,Rotterdam,Alta,0.72,33177182.41,3.77
C008876,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4664,2.12,0.561,Rotterdam,Alta,0.72,35409195.97,3.13
C039440,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3733,1.55,0.384,Shanghai,Media,0.72,37245902.41,2.29
C012880,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO0349,1.65,0.381,Rotterdam,Alta,0.95,44321179.67,2.16
C041404,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO2537,1.14,0.288,Shanghai,Media,0.72,37002241.72,1.68
C047134,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,HIERRO,HIE6371,2.38,0.567,Shanghai,Media,0.72,42271005.81,3.52
C017496,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9573,1.78,0.435,Miami,Baja,0.72,28809790.84,2.63
C010360,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4283,1.3,0.294,Shanghai,Media,0.72,35715879.27,1.92
C014739,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN7673,1.99,0.486,Miami,Media,0.72,35011098.58,2.94
C047110,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2116,2.99,0.794,Los Ángeles,Media,0.72,32116122.73,4.42
C005349,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO0690,1.59,0.401,Shanghai,Media,0.95,52916605.78,2.08
C032834,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO6602,2.8,0.631,Valparaíso,Media,0.72,41419031.2,4.14
C013070,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4234,1.36,0.338,Los Ángeles,Media,0.72,41103778.41,2.01
C023047,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1442,0.64,0.153,Miami,Alta,0.72,41074046.05,0.95
C009664,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6264,1.01,0.251,Valparaíso,Media,0.95,53331545.57,1.32
C027898,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5386,1.55,0.38,Rotterdam,Alta,0.72,29629035.46,2.29
C040478,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5824,1.05,0.285,Valparaíso,Media,0.72,38130963.49,1.55
C049662,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST4127,0.5,0.114,Shanghai,Media,0.85,16937927.63,1.51
C023527,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6262,2.79,0.723,Shanghai,Media,0.72,44074635.19,4.12
C020563,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0148,2.61,0.698,Valparaíso,Alta,0.72,43213079.46,3.86
C040953,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO4528,2.36,0.644,Valparaíso,Media,0.95,42996331.83,3.09
C009919,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO8470,0.92,0.215,Busan,Media,0.95,53352459.37,1.2
C036784,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7167,0.8,0.201,Los Ángeles,Media,0.95,43641788.55,1.05
C035916,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO4726,0.67,0.152,Valparaíso,Media,0.95,49238530.64,0.88
C001817,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6392,2.31,0.577,Valparaíso,Media,0.72,29364411.33,3.41
C041532,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9045,2.82,0.652,Rotterdam,Baja,0.72,39610697.75,4.17
C034071,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1174,1.58,0.422,Miami,Alta,0.72,33392590.66,2.33
C044229,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2667,0.8,0.185,Shanghai,Baja,0.95,62915464.47,1.05
C042462,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO4308,1.78,0.446,Los Ángeles,Media,0.95,63567575.94,2.33
C044916,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7455,1.37,0.344,Miami,Media,0.72,28838476.93,2.02
C030080,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO4549,1.44,0.394,Busan,Alta,0.72,43091359.12,2.13
C001327,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5338,2.05,0.528,Shanghai,Media,0.72,38565033.83,3.03
C039583,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1939,2.3,0.551,Shanghai,Media,0.72,33493185.36,3.4
C044090,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9581,0.78,0.185,Rotterdam,Alta,0.72,28364723.63,1.15
C000193,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO2834,0.59,0.137,Rotterdam,Alta,0.72,28251559.3,0.87
C045700,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5558,2.99,0.786,Valparaíso,Media,0.72,30077844.57,4.42
C013090,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3234,1.08,0.28,Valparaíso,Alta,0.72,28058019.17,1.6
C034734,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST8592,0.63,0.161,Shanghai,Alta,0.85,17973583.87,1.9
C029454,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2751,0.97,0.22,Shanghai,Media,0.72,28860559.93,1.43
C018578,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO9656,0.6,0.158,Shanghai,Alta,0.95,52365377.59,0.79
C028586,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9344,1.48,0.38,Los Ángeles,Media,0.72,40993563.04,2.19
C022987,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN9812,2.51,0.686,Valparaíso,Media,0.72,42617096.43,3.71
C013559,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4069,1.35,0.343,Busan,Media,0.72,39748588.54,1.99
C044152,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2989,1.61,0.387,Shanghai,Media,0.95,44868472.78,2.11
C047573,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO0152,2.19,0.535,Valparaíso,Media,0.95,49661039.15,2.87
C024416,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7711,1.77,0.414,Los Ángeles,Media,0.72,43294790.24,2.61
C040112,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7970,2.65,0.692,Shanghai,Media,0.72,35371494.25,3.91
C012986,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7908,2.67,0.695,Rotterdam,Alta,0.95,47479370.19,3.49
C045924,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO3691,0.52,0.122,Shanghai,Baja,0.95,64725007.76,0.68
C023487,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3782,2.45,0.571,Rotterdam,Alta,0.72,38306203.11,3.62
C012830,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1589,1.65,0.378,Shanghai,Media,0.72,32573489.74,2.44
C041871,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3616,2.97,0.804,Shanghai,Media,0.72,30829760.43,4.39
C012095,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO2799,1.71,0.405,Los Ángeles,Media,0.72,31612023.42,2.53
C048357,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8376,2.97,0.719,Valparaíso,Media,0.72,42292824.65,4.39
C015263,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2271,2.39,0.571,Miami,Alta,0.95,52812446.46,3.13
C020454,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO8935,1.12,0.275,Los Ángeles,Media,0.95,48485605.57,1.47
C002391,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7825,1.85,0.482,Shanghai,Media,0.95,47579205.18,2.42
C041888,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6625,2.98,0.8,Shanghai,Media,0.95,57207652.69,3.9
C035235,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,PLOMO,PLO3911,2.64,0.618,Rotterdam,Alta,0.72,41135121.95,3.9
C045269,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO2486,0.74,0.192,Shanghai,Media,0.95,42189344.27,0.97
C014226,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9014,2.27,0.551,Valparaíso,Media,0.72,29812837.37,3.35
C013132,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2496,1.36,0.373,Rotterdam,Alta,0.72,29587014.2,2.01
C014572,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2536,0.52,0.125,Shanghai,Media,0.72,36716845.78,0.77
C038661,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3465,1.51,0.34,Valparaíso,Media,0.72,36446147.33,2.23
C032888,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9146,1.09,0.273,Shanghai,Baja,0.72,38337211.83,1.61
C023188,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6564,2.55,0.593,Valparaíso,Media,0.72,42012249.4,3.77
C039761,Estándar 20ft,5.9,2.35,2.39,33.2,Carga_Pesada_Industrial,MINERO,ESTAÑO,EST9190,1.34,0.304,Miami,Alta,0.85,20795747.28,4.04
C037075,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2588,2.57,0.668,Los Ángeles,Media,0.72,27955130.0,3.8
C020855,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,HIERRO,HIE8642,0.5,0.131,Busan,Media,0.72,37086916.99,0.74
C010066,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO1583,1.27,0.315,Shanghai,Media,0.95,56797254.09,1.66
C013694,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6323,1.1,0.285,Los Ángeles,Media,0.95,51717511.85,1.44
C032358,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5618,1.08,0.272,Shanghai,Media,0.72,40067404.09,1.6
C039544,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0213,0.67,0.172,Shanghai,Media,0.72,42823005.52,0.99
C021679,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3640,0.97,0.247,Rotterdam,Media,0.72,39988451.2,1.43
C030264,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO5412,1.89,0.488,Shanghai,Media,0.95,41175523.32,2.47
C035003,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7310,1.23,0.289,Shanghai,Media,0.72,33090072.64,1.82
C003967,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO3038,1.54,0.367,Shanghai,Media,0.95,52168835.25,2.02
C036979,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB8509,1.44,0.356,Los Ángeles,Media,0.72,31441406.09,2.13
C041954,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB3534,2.69,0.665,Shanghai,Media,0.72,38698536.84,3.97
C000963,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB9085,2.76,0.728,Rotterdam,Media,0.72,44537227.0,4.08
C025296,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2280,1.73,0.421,Miami,Alta,0.72,34219104.62,2.56
C007454,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB0285,1.33,0.31,Los Ángeles,Media,0.72,30577691.65,1.96
C040768,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO8335,0.77,0.183,Rotterdam,Alta,0.95,55967044.39,1.01
C021339,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO3397,2.88,0.679,Shanghai,Media,0.95,45683282.08,3.77
C026100,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1021,0.65,0.17,Busan,Baja,0.72,38909846.91,0.96
C049635,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO7427,1.24,0.308,Miami,Alta,0.95,45857165.37,1.62
C043501,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,HIERRO,HIE5229,1.25,0.326,Rotterdam,Alta,0.72,42944181.88,1.85
C029509,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB4269,1.3,0.32,Shanghai,Baja,0.72,29384120.44,1.92
C032486,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6839,0.91,0.245,Miami,Alta,0.72,44575075.97,1.34
C041495,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO5425,2.46,0.674,Shanghai,Media,0.95,63116850.81,3.22
C041005,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB2961,0.81,0.209,Valparaíso,Baja,0.72,37459767.73,1.2
C005781,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO5498,2.09,0.561,Miami,Alta,0.95,60976326.68,2.74
C021364,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO6410,0.81,0.203,Shanghai,Media,0.95,52480218.61,1.06
C048516,High Cube,12.03,2.35,2.69,76.4,Carga_Pesada_Industrial,MINERO,ORO,ORO0827,0.68,0.185,Busan,Baja,0.95,47602749.48,0.89
C023021,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB5185,2.77,0.738,Rotterdam,Alta,0.72,42686302.94,4.09
C013522,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB1583,0.98,0.269,Shanghai,Media,0.72,36106738.65,1.45
C028569,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,ZINC,ZIN5970,2.55,0.653,Shanghai,Media,0.72,34855872.11,3.77
C032153,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB6080,1.86,0.491,Shanghai,Media,0.72,38263166.12,2.75
C021625,Estándar 40ft,12.03,2.35,2.39,67.7,Carga_Pesada_Industrial,MINERO,COBRE,COB7699,0.69,0.174,Shanghai,Baja,0.72,44270522.55,1.02
